interjection_id,text_clean_combined,line_id,page,line,transcript_line_number,line_type,section_header,speaker,speaker_standardized
19-007-02,"--- Upon commencing on Tuesday, November 8, 2022 at 9:30 a.m.",19-007-03,7,3,2,proceedings_start,NA,NA,NA
19-007-03,Order. À l’ordre. The Public Order Emergency Commission is now in session. La Commission sur l’état d’urgence est maintenant ouverte.,19-007-04,7,4,3,speaker_start,NA,THE REGISTRAR,the registrar
19-007-06,Good morning. Bonjour. Another beautiful day in Ottawa. Okay. We have a -- let me guess; another witness.,19-007-07,7,7,6,speaker_start,NA,COMMISSIONER ROULEAU,commissioner rouleau
19-007-10,We do.,19-007-11,7,11,10,speaker_start,NA,MR. FRANK AU,frank au
19-007-11,Okay.,19-007-12,7,12,11,speaker_start,NA,COMMISSIONER ROULEAU,commissioner rouleau
19-007-12,"Good morning, Commissioner.",19-007-13,7,13,12,speaker_start,NA,MR. FRANK AU,frank au
19-007-13,Go ahead.,19-007-14,7,14,13,speaker_start,NA,COMMISSIONER ROULEAU,commissioner rouleau
19-007-14,"It’s Frank Au for the Commission, and our next witness is Superintendent Dana Earley from the OPP. (SHORT PAUSE)",19-007-15,7,15,14,speaker_start,NA,MR. FRANK AU,frank au
19-007-17,"For the record, please state your full name and spell it out.",19-007-18,7,18,17,speaker_start,NA,THE REGISTRAR,the registrar
19-007-19,Dana Earley. Dana is D-a-n- a; Earley is E-a-r-l-e-y.,19-007-20,7,20,19,speaker_start,NA,SUPT. DANA EARLEY,supt. dana earley
19-007-21,"--- SUPT. DANA EARLEY, Sworn:",19-007-22,7,22,21,section_header,"SUPT. DANA EARLEY, Sworn",NA,NA
19-007-22,Thank you.,19-007-23,7,23,22,speaker_start,"SUPT. DANA EARLEY, Sworn",THE REGISTRAR,the registrar
19-007-23,--- EXAMINATION IN-CHIEF BY MR. FRANK AU:,19-007-24,7,24,23,section_header,EXAMINATION IN-CHIEF BY MR. FRANK AU,NA,NA
