interjection_id,text_clean_combined,line_id,page,line,transcript_line_number,line_type,section_header,speaker,speaker_standardized
28-007-02,"--- Upon commencing on Tuesday, November 22, 2022 at 9:30 a.m.",28-007-03,7,3,2,proceedings_start,NA,NA,NA
28-007-03,Order. À l’ordre. The Public Order Emergency Commission is now in session. La Commission sur l’état d’urgence est maintenant ouverte.,28-007-04,7,4,3,speaker_start,NA,THE REGISTRAR,the registrar
28-007-07,"Good morning. Bonjour. Okay. Commission Counsel, we’re ready to go?",28-007-08,7,8,7,speaker_start,NA,COMMISSIONER ROULEAU,commissioner rouleau
28-007-09,We are. Shantona Chaudhury for the Commission. The Commission’s next witness is Minister Marco Mendicino.,28-007-10,7,10,9,speaker_start,NA,MS. SHANTONA CHAUDHURY,shantona chaudhury
28-007-13,Bonjour.,28-007-14,7,14,13,speaker_start,NA,MINISTER MARCO MENDICINO,minister marco mendicino
28-007-14,"Good morning, Minister Mendicino. The witness be sworn or affirmed?",28-007-15,7,15,14,speaker_start,NA,MS. SHANTONA CHAUDHURY,shantona chaudhury
28-007-17,"For the record, please state your full name and spell it out.",28-007-18,7,18,17,speaker_start,NA,THE REGISTRAR,the registrar
28-007-19,"Marco Mendicino; M-a- r-c-o, M-e-n-d-i-c-i-n-o.",28-007-20,7,20,19,speaker_start,NA,MINISTER MARCO MENDICINO,minister marco mendicino
28-007-21,"--- MINISTER MARCO MENDICINO, Sworn:",28-007-22,7,22,21,section_header,"MINISTER MARCO MENDICINO, Sworn",NA,NA
28-007-22,Thank you.,28-007-23,7,23,22,speaker_start,"MINISTER MARCO MENDICINO, Sworn",THE REGISTRAR,the registrar
28-007-23,--- EXAMINATION IN-CHIEF BY MS. SHANTONA CHAUDHURY:,28-007-24,7,24,23,section_header,EXAMINATION IN-CHIEF BY MS. SHANTONA CHAUDHURY,NA,NA
28-007-24,"Good morning again, Minister Mendicino. So we’ll just start with a little housekeeping, which is the entry of your witness summary. You’ll recall sitting for an interview with Commission Counsel on September 5th of this year?",28-007-25,7,25,24,speaker_start,EXAMINATION IN-CHIEF BY MS. SHANTONA CHAUDHURY,MS. SHANTONA CHAUDHURY,shantona chaudhury
28-008-02,Yes.,28-008-04,8,4,2,speaker_start,EXAMINATION IN-CHIEF BY MS. SHANTONA CHAUDHURY,MINISTER MARCO MENDICINO,minister marco mendicino
