interjection_id,text_clean_combined,line_id,page,line,transcript_line_number,line_type,section_header,speaker,speaker_standardized
15-007-02,"--- Upon commencing on Monday, November 2, 2022 at 9:34 a.m.",15-007-03,7,3,2,proceedings_start,NA,NA,NA
15-007-03,Order. À l’ordre. The Public Emergency Commission is now in session. La Commission sur l’état d’urgence est maintenant ouverte.,15-007-04,7,4,3,speaker_start,NA,THE REGISTRAR,the registrar
15-007-06,Good morning. Bonjour. I apologize for the slight delay. Okay.,15-007-07,7,7,6,speaker_start,NA,COMMISSIONER ROULEAU,commissioner rouleau
15-007-08,"Good morning, Commissioner.",15-007-09,7,9,8,speaker_start,NA,MR. JEFFREY LEON,jeffrey leon
15-007-09,Good morning.,15-007-10,7,10,9,speaker_start,NA,COMMISSIONER ROULEAU,commissioner rouleau
15-007-10,"Jeffrey Leon, co-lead, Commission counsel. The next witness will be Keith Wilson.",15-007-11,7,11,10,speaker_start,NA,MR. JEFFREY LEON,jeffrey leon
15-007-12,"Mr. Wilson, will you swear on a religious document or do you wish to affirm?",15-007-13,7,13,12,speaker_start,NA,THE REGISTRAR,the registrar
15-007-14,I’ll swear on the Bible.,15-007-15,7,15,14,speaker_start,NA,MR. KEITH WILSON,keith wilson
15-007-15,"For the record, please state your full name and spell it out.",15-007-16,7,16,15,speaker_start,NA,THE REGISTRAR,the registrar
15-007-17,"Ian Keith Wilson, w-i-l-s-o-n.",15-007-18,7,18,17,speaker_start,NA,MR. KEITH WILSON,keith wilson
15-007-18,"--- MR. KEITH WILSON, Sworn:",15-007-19,7,19,18,section_header,"MR. KEITH WILSON, Sworn",NA,NA
15-007-19,--- EXAMINATION IN-CHIEF BY MR. JEFFREY LEON:,15-007-20,7,20,19,section_header,EXAMINATION IN-CHIEF BY MR. JEFFREY LEON,NA,NA
15-007-20,"Good morning, Mr. Wilson.",15-007-21,7,21,20,speaker_start,EXAMINATION IN-CHIEF BY MR. JEFFREY LEON,MR. JEFFREY LEON,jeffrey leon
15-007-21,Good morning.,15-007-22,7,22,21,speaker_start,EXAMINATION IN-CHIEF BY MR. JEFFREY LEON,MR. KEITH WILSON,keith wilson
15-007-22,"I’d like to begin by getting some information on your background. I understand you’re from Edmonton, Alberta?",15-007-23,7,23,22,speaker_start,EXAMINATION IN-CHIEF BY MR. JEFFREY LEON,MR. JEFFREY LEON,jeffrey leon
15-007-25,"That’s right. I’m originally from Burlington, Ontario. I spent the first part of my life here in Ontario and the balance of my life out west.",15-007-26,7,26,25,speaker_start,EXAMINATION IN-CHIEF BY MR. JEFFREY LEON,MR. KEITH WILSON,keith wilson
15-007-28,You and I did it the opposite ways. And do you practice law in Edmonton?,15-007-29,7,29,28,speaker_start,EXAMINATION IN-CHIEF BY MR. JEFFREY LEON,MR. JEFFREY LEON,jeffrey leon
15-008-02,That’s correct.,15-008-04,8,4,2,speaker_start,EXAMINATION IN-CHIEF BY MR. JEFFREY LEON,MR. KEITH WILSON,keith wilson
15-008-03,For how long?,15-008-05,8,5,3,speaker_start,EXAMINATION IN-CHIEF BY MR. JEFFREY LEON,MR. JEFFREY LEON,jeffrey leon
15-008-04,"I think I’m 27, 28 years at the Bar now.",15-008-06,8,6,4,speaker_start,EXAMINATION IN-CHIEF BY MR. JEFFREY LEON,MR. KEITH WILSON,keith wilson
15-008-06,And you’re a King’s Counsel?,15-008-08,8,8,6,speaker_start,EXAMINATION IN-CHIEF BY MR. JEFFREY LEON,MR. JEFFREY LEON,jeffrey leon
15-008-07,That’s correct.,15-008-09,8,9,7,speaker_start,EXAMINATION IN-CHIEF BY MR. JEFFREY LEON,MR. KEITH WILSON,keith wilson
15-008-08,And can you describe for the Commission the nature of your practice?,15-008-10,8,10,8,speaker_start,EXAMINATION IN-CHIEF BY MR. JEFFREY LEON,MR. JEFFREY LEON,jeffrey leon
15-008-10,"I’ve typically, throughout the course of my career, dealt with people who are up against bigger forces than them. I have represented many landowners, and farmers, and ranches in Alberta in disputes with oil companies, but I’ve also -- much of my practice has been focused on helping people when governments, in their mind, has gone to far, affecting their life, or their business, or their livelihood, and so I’ve done a lot of judicial review, and administrative law, and tribunal work.",15-008-12,8,12,10,speaker_start,EXAMINATION IN-CHIEF BY MR. JEFFREY LEON,MR. KEITH WILSON,keith wilson
15-008-19,Thank you. And have you -- I take it you’ve appeared before all levels of Alberta Courts and many regulatory tribunals?,15-008-21,8,21,19,speaker_start,EXAMINATION IN-CHIEF BY MR. JEFFREY LEON,MR. JEFFREY LEON,jeffrey leon
15-008-22,That’s right.,15-008-24,8,24,22,speaker_start,EXAMINATION IN-CHIEF BY MR. JEFFREY LEON,MR. KEITH WILSON,keith wilson
15-008-23,"And can I ask the clerk to bring up WTS00000058? You attended an interview with me and my colleagues on October 20, 2022?",15-008-25,8,25,23,speaker_start,EXAMINATION IN-CHIEF BY MR. JEFFREY LEON,MR. JEFFREY LEON,jeffrey leon
15-008-26,That’s correct.,15-008-28,8,28,26,speaker_start,EXAMINATION IN-CHIEF BY MR. JEFFREY LEON,MR. KEITH WILSON,keith wilson
15-008-27,And you were provided with a draft summary that was prepared by Commission counsel?,15-008-29,8,29,27,speaker_start,EXAMINATION IN-CHIEF BY MR. JEFFREY LEON,MR. JEFFREY LEON,jeffrey leon
15-009-01,That’s right.,15-009-03,9,3,1,speaker_start,EXAMINATION IN-CHIEF BY MR. JEFFREY LEON,MR. KEITH WILSON,keith wilson
15-009-02,"And you had an opportunity to review that summary, comment on it, and then you were provided with an amended version which you also reviewed?",15-009-04,9,4,2,speaker_start,EXAMINATION IN-CHIEF BY MR. JEFFREY LEON,MR. JEFFREY LEON,jeffrey leon
